iter,train_loss,train_err,dev_loss,dev_err,,
1,0.022525592,0.120691358,0.022914751,0.124592593,12.45925926,
2,0.018940913,0.102814815,0.019452033,0.106518519,10.65185185,
3,0.01724733,0.093975309,0.017841687,0.099111111,9.911111111,
4,0.016120377,0.08691358,0.016782492,0.093777778,9.377777778,
5,0.015256938,0.082419753,0.01597675,0.088962963,8.896296296,
6,0.014545881,0.078493827,0.015316044,0.084740741,8.474074074,
7,0.013935804,0.07508642,0.014750753,0.081333333,8.133333333,
8,0.013399101,0.072098765,0.014254478,0.077925926,7.792592593,
9,0.012919199,0.069407407,0.013811453,0.075851852,7.585185185,
10,0.012485202,0.067135802,0.013411358,0.073259259,7.325925926,
11,0.01208941,0.064888889,0.013046924,0.071407407,7.140740741,
12,0.011726057,0.062790123,0.012712738,0.07,7,
13,0.011390638,0.060814815,0.012404606,0.068518519,6.851851852,
14,0.011079529,0.059555556,0.012119176,0.066888889,6.688888889,
15,0.010789745,0.057925926,0.011853714,0.065037037,6.503703704,
16,0.010518798,0.056617284,0.011605954,0.063555556,6.355555556,
17,0.010264586,0.055061728,0.011373994,0.062074074,6.207407407,
18,0.010025323,0.054024691,0.011156223,0.060592593,6.059259259,
19,0.009799482,0.052888889,0.010951267,0.059925926,5.992592593,
20,0.009585747,0.051679012,0.010757941,0.059259259,5.925925926,
21,0.009382983,0.05037037,0.010575222,0.058518519,5.851851852,
22,0.009190201,0.049407407,0.010402216,0.057555556,5.755555556,
23,0.009006541,0.048469136,0.010238139,0.056666667,5.666666667,
24,0.008831249,0.04745679,0.010082298,0.055407407,5.540740741,
25,0.00866366,0.046691358,0.009934078,0.054666667,5.466666667,
26,0.008503189,0.045654321,0.00979293,0.053851852,5.385185185,
27,0.008349314,0.045037037,0.009658359,0.053111111,5.311111111,
28,0.008201572,0.044246914,0.009529919,0.052148148,5.214814815,
29,0.008059545,0.043382716,0.009407206,0.051111111,5.111111111,
30,0.007922859,0.042444444,0.009289851,0.05037037,5.037037037,
31,0.007791177,0.041333333,0.009177517,0.049777778,4.977777778,
32,0.007664192,0.040518519,0.009069897,0.049185185,4.918518519,
33,0.007541625,0.039950617,0.008966708,0.048518519,4.851851852,
34,0.007423219,0.039135802,0.008867687,0.04762963,4.762962963,
35,0.007308743,0.038641975,0.008772594,0.047037037,4.703703704,
36,0.007197982,0.038,0.008681206,0.046592593,4.659259259,
37,0.007090737,0.037283951,0.008593316,0.046222222,4.622222222,
38,0.006986827,0.036666667,0.008508731,0.045333333,4.533333333,
39,0.006886083,0.036,0.008427272,0.044666667,4.466666667,
40,0.006788349,0.035530864,0.008348772,0.044296296,4.42962963,
41,0.006693479,0.03491358,0.008273075,0.043777778,4.377777778,
42,0.006601338,0.034395062,0.008200035,0.043333333,4.333333333,
43,0.006511802,0.033876543,0.008129517,0.043259259,4.325925926,
44,0.006424751,0.033555556,0.008061392,0.042814815,4.281481481,
45,0.006340077,0.033234568,0.007995542,0.042592593,4.259259259,
46,0.006257677,0.032765432,0.007931854,0.042,4.2,
47,0.006177453,0.032148148,0.007870223,0.041555556,4.155555556,
48,0.006099317,0.031753086,0.007810551,0.041481481,4.148148148,
49,0.006023182,0.031358025,0.007752745,0.041037037,4.103703704,
50,0.005948968,0.030839506,0.007696718,0.040666667,4.066666667,95.93333333